10.1.50.3,BOREHOLE-R1-03 ,00:02:c9:53:30:96
10.1.50.23,BOREHOLE-R1-23 ,00:02:c9:54:cf:86
10.1.50.22,BOREHOLE-R1-22 ,00:02:c9:54:e6:5c
10.1.50.1,BOREHOLE-R1-01 ,00:02:c9:53:30:1e
10.1.50.5,BOREHOLE-R1-05 ,00:02:c9:53:35:4a
10.1.50.20,BOREHOLE-R1-20 ,00:02:c9:56:28:de
10.1.50.36,BOREHOLE-R1-36 ,00:02:c9:55:0e:8e
10.1.50.2,BOREHOLE-R1-02 ,00:02:c9:55:8b:46
10.1.50.27,BOREHOLE-R1-27 ,00:02:c9:56:f6:c8
10.1.50.12,BOREHOLE-R1-12 ,00:02:c9:55:fb:32
10.1.50.29,BOREHOLE-R1-29 ,00:02:c9:53:00:62
10.1.50.6,BOREHOLE-R1-06 ,00:02:c9:55:9a:c6
10.1.50.38,BOREHOLE-R1-38 ,00:02:c9:56:fc:c0
10.1.50.10,BOREHOLE-R1-10 ,00:02:c9:56:c8:64
10.1.50.32,BOREHOLE-R1-32 ,00:02:c9:53:31:d2
10.1.50.25,BOREHOLE-R1-25 ,00:02:c9:56:f9:48
10.1.50.34,BOREHOLE-R1-34 ,00:02:c9:55:fb:24
10.1.50.33,BOREHOLE-R1-33 ,00:02:c9:55:11:1a
10.1.50.28,BOREHOLE-R1-28 ,00:02:c9:56:c8:44
10.1.50.30,BOREHOLE-R1-30 ,00:02:c9:56:f4:80
10.1.50.24,BOREHOLE-R1-24 ,00:02:c9:57:11:ee
10.1.50.35,BOREHOLE-R1-35 ,00:02:c9:54:6a:f2
10.1.50.26,BOREHOLE-R1-26 ,00:02:c9:53:31:1e
10.1.50.37,BOREHOLE-R1-37 ,00:02:c9:54:f2:94
10.1.50.39,BOREHOLE-R1-39 ,00:02:c9:54:39:82
10.1.50.18,BOREHOLE-R1-18 ,00:02:c9:56:9d:4a
10.1.50.19,BOREHOLE-R1-19 ,00:02:c9:56:db:6a
10.1.50.9,BOREHOLE-R1-09 ,00:02:c9:56:1b:04
10.1.50.11,BOREHOLE-R1-11 ,00:02:c9:53:14:5c
10.1.50.21,BOREHOLE-R1-21 ,00:02:c9:53:05:3c
10.1.51.9,BOREHOLE-ND9   ,00:02:c9:56:ae:ca
10.1.51.8,BOREHOLE-ND8   ,00:02:c9:56:82:50
10.1.51.5,BOREHOLE-ND5   ,00:02:c9:54:dc:fe
10.1.51.15,BOREHOLE-ND15  ,00:02:c9:54:f2:6a
10.1.51.12,BOREHOLE-ND12  ,00:02:c9:52:d4:f6
10.1.51.7,BOREHOLE-ND7   ,00:02:c9:57:1a:02
10.1.51.13,BOREHOLE-ND13  ,00:02:c9:56:c0:1e
10.1.51.14,BOREHOLE-ND14  ,00:02:c9:54:e6:62
10.1.51.11,BOREHOLE-ND11  ,00:02:c9:52:e3:fe
10.1.51.21,BOREHOLE-ND21  ,00:02:c9:56:fe:64
10.1.51.40,BOREHOLE-ND40  ,00:02:c9:54:c1:52
10.1.51.19,BOREHOLE-ND19  ,00:02:c9:57:60:84
10.1.51.23,BOREHOLE-ND23  ,00:02:c9:55:a0:92
10.1.51.17,BOREHOLE-ND17  ,00:02:c9:54:d7:ca
10.1.51.34,BOREHOLE-ND-34 ,00:02:c9:54:79:ac
10.1.51.27,BOREHOLE-ND27  ,00:02:c9:56:87:e6
10.1.51.31,BOREHOLE-ND31  ,00:02:c9:56:8c:14
10.1.51.38,BOREHOLE-ND38  ,00:02:c9:57:19:d4
10.1.51.29,BOREHOLE-ND29  ,00:02:c9:55:95:c6
10.1.51.36,BOREHOLE-ND36  ,00:02:c9:53:31:dc
10.1.51.32,BOREHOLE-ND32  ,00:02:c9:55:a1:90
10.1.51.25,BOREHOLE-ND25  ,00:02:c9:56:9e:0a
10.1.51.26,BOREHOLE-ND26  ,00:02:c9:56:b2:34
10.1.51.28,BOREHOLE-ND28  ,00:02:c9:56:c8:48
10.1.51.33,BOREHOLE-ND33  ,00:02:c9:57:13:66
10.1.51.30,BOREHOLE-ND30  ,00:02:c9:55:83:0e
10.1.51.24,BOREHOLE-ND24  ,00:02:c9:55:a0:40
10.1.51.6,BOREHOLE-ND6   ,00:02:c9:54:e2:48
10.1.51.2,BOREHOLE-ND2   ,00:02:c9:54:e7:00
10.1.51.4,BOREHOLE-ND4   ,00:02:c9:57:1a:08
10.1.51.16,BOREHOLE-ND16  ,00:02:c9:56:b7:be
10.1.51.22,BOREHOLE-ND22  ,00:02:c9:57:53:4e
10.1.51.10,BOREHOLE-ND10  ,00:02:c9:56:85:6e
10.1.51.3,BOREHOLE-ND3   ,00:02:c9:56:fa:7c
10.1.51.18,BOREHOLE-ND18  ,00:02:c9:54:ec:a0
10.1.51.37,BOREHOLE-ND37  ,00:02:c9:54:f3:3a
10.1.51.39,BOREHOLE-ND39  ,00:02:c9:54:37:22
10.1.52.9,BOREHOLE2-PC9  ,00:02:c9:54:69:44
10.1.52.16,BOREHOLE2-PC16 ,00:02:c9:55:94:be
10.1.52.6,BOREHOLE2-PC6  ,00:02:c9:50:cf:80
10.1.52.13,BOREHOLE2-PC13 ,00:02:c9:56:aa:38
10.1.52.27,BOREHOLE2-PC27 ,00:02:c9:55:6f:94
10.1.52.18,BOREHOLE2-PC18 ,00:02:c9:56:ca:28
10.1.52.4,BOREHOLE2-PC4  ,00:02:c9:56:fc:fe
10.1.52.15,BOREHOLE2-PC15 ,00:02:c9:57:53:32
10.1.52.20,BOREHOLE2-PC20 ,00:02:c9:54:54:18
10.1.52.36,BOREHOLE2-PC36 ,00:02:c9:53:ff:9e
10.1.52.11,BOREHOLE2-PC11 ,00:02:c9:54:27:e2
10.1.52.32,BOREHOLE2-PC32 ,00:02:c9:55:0a:e6
10.1.52.31,BOREHOLE2-PC31 ,00:02:c9:57:60:8c
