10.1.10.49,BHSS-ZHAO      ,70:cd:60:aa:15:6f
10.1.10.53,BHSADMINS-IMAC ,0c:4d:e9:a5:ee:51
10.1.10.57,MACMINI-C917E4 ,10:dd:b1:c9:17:e4
10.1.10.112,ONYX-0037      ,00:00:00:00:00:00
10.1.10.141,AXEL           ,3c:07:54:72:3d:5d
10.1.10.171,VLADIMIRS-IMAC ,38:f9:d3:0f:8d:d4
10.1.10.220,KM65D941       ,00:00:00:00:00:00
10.1.10.185,LAPTOP-0RN1LOEN,5c:ff:35:d7:39:13
10.1.10.200,DESKTOP-04OTFGH,98:ee:cb:a6:63:22
10.1.10.189,IT0079         ,68:5b:35:97:f4:28
10.1.10.37,IMAC-0B4522    ,38:f9:d3:0b:45:22
10.1.10.52,IT0141         ,10:dd:b1:c6:ce:6f
10.1.10.54,IT0302-BO-107  ,bc:6a:2f:98:52:6d
10.1.10.29,IT0083-BOREHOLE,90:72:40:01:15:03
10.1.10.63,IMAC-5C333E    ,a4:83:e7:5b:d1:23
10.1.10.147,TOMMY-PC       ,9c:2d:cd:1a:ed:5f
10.1.10.197,LAPTOP-EMJ20DC0,30:89:4a:68:7f:1d
10.1.10.106,DESKTOP-U2KPB45,7c:70:db:87:84:62
10.1.10.122,MACBOOKPRO-29BD,f0:2f:4b:0f:29:bd
10.1.10.58,IMAC-0B4522    ,38:f9:d3:0b:45:22
10.1.10.161,IT0094-JOHN    ,88:63:df:9f:d2:25
10.1.10.67,MACBOOK-PRO-2  ,3c:15:c2:b9:d8:78
10.1.10.18,IT0141         ,10:dd:b1:c6:ce:6f
10.1.10.4,IT0001S-IMAC-2 ,ec:35:86:2e:63:1c
